X2,Y2,Z2,x2,y2,z2,delta_x2,delta_y2,delta_z2,delta_xy2,delta_xyz2
20,30,130,23.2169662,35.05790304,124.0719215,3.216966203,5.057903039,-5.928078513,5.994268487,8.430502331
-50,-50,130,-45.54941663,-52.20657547,136.829952,4.450583373,-2.206575471,6.82995199,4.967561542,8.445407738
20,-40,130,18.01270863,-37.49415015,137.8308397,-1.98729137,2.505849845,7.830839653,3.198219886,8.458762327
-30,-10,130,-27.79767432,-10.75988428,138.1402394,2.202325678,-0.759884279,8.140239409,2.329734429,8.467063254
40,-20,130,44.34341848,-17.20298328,136.8283385,4.343418484,2.797016717,6.828338458,5.166099751,8.56240578
70,-40,130,72.68395133,-41.81347294,137.9774251,2.683951326,-1.813472939,7.977425124,3.239178727,8.609970409
-40,50,130,-40.83658945,53.20117244,137.9626435,-0.836589454,3.201172443,7.962643547,3.308683564,8.622707184
-20,-70,130,-20.43261283,-68.10844378,138.4865396,-0.432612825,1.891556221,8.486539637,1.940396556,8.705543854
-20,20,130,-20.28479823,23.49235605,138.009613,-0.284798226,3.492356045,8.009612984,3.503949311,8.742514566
50,0,130,47.3123039,-0.803505078,138.4396398,-2.687696097,-0.803505078,8.439639797,2.805232739,8.893641022
-30,60,130,-28.19971443,57.50992431,138.3856478,1.800285569,-2.490075686,8.3856478,3.072703215,8.930878684
10,70,130,11.76621293,71.13327959,138.7043149,1.766212926,1.13327959,8.704314895,2.098530612,8.953710322
40,20,130,37.3209476,19.48933674,138.5996781,-2.679052399,-0.510663258,8.59967814,2.727287796,9.021782686
60,-60,130,63.81428964,-60.42894903,138.2260316,3.81428964,-0.428949029,8.226031574,3.838333326,9.077466507
30,60,130,31.73806878,58.03697552,138.7347024,1.738068775,-1.963024476,8.73470237,2.621897816,9.119724428
60,-30,130,59.00077364,-32.6150358,138.6920469,-0.999226362,-2.615035803,8.692046878,2.799440225,9.131732831
60,40,130,60.58544214,43.36499979,138.4839212,0.585442136,3.364999789,8.483921233,3.415547697,9.145648449
-20,50,130,-16.99203535,47.44596111,138.2884946,3.007964646,-2.554038892,8.288494569,3.946006332,9.179875173
0,-50,130,-0.638564479,-52.28330914,138.8790667,-0.638564479,-2.283309144,8.879066701,2.370920758,9.190162715
-70,0,130,-72.88699031,-1.586425074,138.5899194,-2.886990306,-1.586425074,8.589919388,3.294155057,9.199900686
20,60,130,22.38789674,60.60019031,138.9787531,2.387896742,0.60019031,8.978753078,2.462169625,9.310224814
-20,30,130,-17.24479854,29.79475809,138.894859,2.755201463,-0.205241915,8.894859014,2.762835382,9.314063358
-60,-10,130,-57.28324571,-11.93493862,138.7891678,2.716754285,-1.934938616,8.789167837,3.335377234,9.400755957
-10,-40,130,-10.74303346,-34.10676431,137.3923219,-0.743033457,5.893235694,7.392321928,5.939892731,9.483076987
70,60,130,72.46305687,59.90879336,139.1820201,2.463056874,-0.091206637,9.182020077,2.46474498,9.507074235
0,-20,130,-1.316280255,-17.691531,139.1281946,-1.316280255,2.308468998,9.128194582,2.657371413,9.507132015
50,-20,130,47.8058158,-20.06810529,139.3231959,-2.194184198,-0.068105289,9.323195922,2.195240904,9.578155607
-40,-60,130,-39.23025779,-61.61166579,139.416938,0.769742206,-1.611665792,9.416938001,1.786048624,9.584815648
70,70,130,68.10224418,70.74208854,139.3690342,-1.897755817,0.742088536,9.369034214,2.037688037,9.588064175
